price,address,city,state,zipcode,beds,baths,floor_size,year_built,Property_Type,HOA,Lot,PricePerSqFt,Description,remodel_year,Schools,No. of Nearby Schools
739000,"854 Reading Way,", Vacaville,CA,95687,4.0,4,"4,087",2002,Single Family,None,"9,583 sqft",$181,"Located in one of Vacaville most desired areas, the Canterfield Subdivision. This home is 4087 sq. ft. so there is no shortage of space! This home has so much to offer including upgrades throughout the entire home! This home offers 4 bedrooms, a bonus room, large loft, 4 full baths, A mini suite, large open living are, Stainless GE Cafe appliances, Granite countertops, thin cut brick backsplash in the kitchen and around fireplance, hand scraped hardwood flooring and gorgeous Travertine tile floors. Master Bedroom is large with its own fireplace. Neutral custom paint colors throughout the entire home. The exterior areas includes a 3 car tandem garage, covered porch, courtyard stone walls with ambiance lighting. The landscaped yards have a custom pergola swing set, stamped concrete and so much more. Close to Shopping, Highway access, Parks, schools. No HOA or Melloroos. This Beautiful Home is well maintained and ready for its new owners to move in!Read more",None,"'Cooper Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
475000,"845 Youngsdale Dr,", Vacaville,CA,95687,4.0,3,"1,689",1993,Single Family,None,"6,098 sqft",$281,Plenty of space and ready to move in! Located in the Travis Unified School District. 4 bedrooms & 2 1/2 bathrooms with one bedroom downstairs. UPDATED kitchen with CORIAN counters and Stainless Steele appliances. The kitchen opens to the family room with a cozy fireplace. Plantation shutters downstairs. Spacious backyard with patio/pergola.Read more,None,"'Foxboro Elementary School', 'Golden West Middle School', 'Vanden High School'",3
525000,"807 Oak Creek Dr,", Vacaville,CA,95687,3.0,3,"2,193",1990,Single Family,None,"6,534 sqft",$239,None,None,"'Jean Callison Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
439000,"117 Republic Way,", Vacaville,CA,95687,4.0,3,"1,887",1990,Single Family,$105/month,"3,484 sqft",$233,Here is your chance to own an affordable Vacaville home on a nice corner lot. The kitchen features extra counter space for a breakfast bar. Four upstairs bedrooms that has custom cabinets and drawers in the master bedroom walk in closet. A grape vine and peach trees in the backyard produce tasty fruit that you will enjoy year after year. Garage has lots of cabinets & overhang for storage. The solar is owned so you will enjoy low PG&E bills. HOA takes care of the front yard maintenance and the association has a community pool. Make this one yours today!Read more,None,"'Cambridge Elementary School', 'Golden West Middle School', 'Vanden High School'",3
544973,"748 Cannon Station Ct,", Vacaville,CA,95688,4.0,3,"2,237",2008,Single Family,$53/month,"6,098 sqft",$244,"What I love about this homeBeautiful 4 bedroom home-Court Location-Solar included for the lucky buyer. North Village subdivision, close to Kaiser, shopping, freeway access.Read more",None,"'Edwin Markham Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
539000,"900 Lancaster St,", Vacaville,CA,95687,5.0,3,"2,566",2010,Single Family,None,"6,534 sqft",$210,"Beautifully maintained 2-story home located in the Vacaville community of South Town. Walk into this home and be greeted by vaulted ceilings with a spacious living and formal dining room combination. Ideal convenience with a bedroom and full bathroom on the first floor. Keep cozy in the family room with a gas fireplace that opens to the kitchen with stainless steel appliances, island, and walk-in pantry. The second floor features a large open loft, and the master suite. Located on a corner lot with unobstructed views of Mount Diablo and the rolling hills of Pena Adobe, this is a home you do not want to miss! Conveniently located within minutes of parks, schools, Travis Air Force Base, and the Vacaville Premium Outlets. Welcome to your NextHome!Read more",None,"'Cambridge Elementary School', 'Golden West Middle School', 'Vanden High School'",3
415000,"1193 Syracuse Cir,", Vacaville,CA,95687,3.0,3,"1,528",1992,Single Family,$260/month,"3,049 sqft",$272,None,None,"'Cooper Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
525500,"490 Valencia Ln,", Vacaville,CA,95688,3.0,2,"1,550",1975,Single Family,None,"8,712 sqft",$339,"North Orchard Beauty! This single story is situated on a spacious 8,700 square foot lot with gated RV/boat parking on both sides of the home. Impressive upgrades throughout the entire home and attention to detail shown inside and out, this home will satisfy even the most selective buyer. The expansive patio outside the master makes for the perfect gathering place with family and friends. Located next to family parks, tennis courts and bike paths giving you the convenience to be able to walk to these amenities in minutes. With the additional parking and custom built storage shed, area for your toys and belongings will never be an issue. Don't miss out on this rare opportunity to live in this one of a kind home in one of the most desirable areas in Vacaville.Read more",None,"'Orchard Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
460000,"1001 Fox Hound Rd,", Vacaville,CA,95687,3.0,2,"1,708",1989,Single Family,None,"7,093 sqft",$269,None,None,"'Foxboro Elementary School', 'Golden West Middle School', 'Vanden High School'",3
465000,"436 Somerville Cir,", Vacaville,CA,95687,4.0,3,"1,680",1996,Single Family,None,"4,791 sqft",$277,"Beautifully maintained and updated 4 Bedroom and 2.5 Bath home. Home has been updated with newer carpet/wood flooring throughout, granite counter tops, crown molding, and newly painted interior/exterior within the last 12 months. 2 Car garage with RV Parking.Read more",None,"'Cambridge Elementary School', 'Golden West Middle School', 'Vanden High School'",3
600000,"2007 Aster Ct,", Vacaville,CA,95688,5.0,5,"3,010",2016,Single Family,$41/month,"4,791 sqft",$199,"Sparkling like a Diamond! In a cul-de-sac is approx 4 years new with loads of amenities. You will appreciate 1 junior ensuite on the first floor, 4 bedrooms (includes ensuite) on the 2nd floor with spacious loft. Bathrooms for every room. Will love starry sky views from master bedroom and spacious walk-in closet. Formal dining room, great room with gas fireplace adjacent to gourmet eat-in kitchen with gas stove, built-in oven/microwave and island for extra counter space. Laundry room on 2nd level, water softener, double awning operated by remote for entertaining on summer days, stamped concrete at rear patio finished with raised flower beds, built-in storage closets in 2-car attached garage. Inviting front porch. Tuff shed. No rear neighbors.Read more",None,"'Edwin Markham Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
899000,"226 Rolling Sage Cir,", Vacaville,CA,95688,4.0,4,"3,462",2017,Single Family,$88/month,0.46 acres,$260,"Nestled in the highly desirable Cheyenne Community In Browns Valley sits this spacious 4 bedroom 3.5 bath home with separate Au Pair/In Law Suite with built in cabinets, granite counters, stainless sink, with room for a mini fridge. With over 3400 square feet of living space this home boasts a gourmet kitchen complete with stainless steel appliances, gas cooktop, convection oven, large island with breakfast bar walk in pantry, granite counters, and tiled backsplash. Upstairs is just as impressive with it's roomy loft, spacious laundry room with built in cabinets and utility sink, 2 bedrooms and master suite. The master suite features a soaking tub, dual vanities and walk in closet. This premium 20,000 plus sqft lot has incredible views of the hills. The backyard possibilities are endless on this extra large lot...add RV parking, a pool, a shop, or even an ADU!!Read more",None,"'Browns Valley Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
569900,"1024 Parkside Dr,", Vacaville,CA,95688,5.0,4,"2,708",2007,Single Family,$53/month,"5,662 sqft",$210,"Open HouseSun, Mar 812:00 PM - 3:00 PM{""@type"":""Event"",""@context"":""http://schema.org"",""startDate"":""2020-03-08T12:00:00"",""endDate"":""2020-03-08T15:00:00"",""name"":""Open House - 12:00 PM - 3:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/1024-Parkside-Dr-Vacaville-CA-95688/79848170_zpid/"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""1024 Parkside Dr"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1024 Parkside Dr"",""postalCode"":""95688"",""addressLocality"":""Vacaville"",""addressRegion"":""CA""}},""image"":""https://photos.zillowstatic.com/p_h/ISfgp2st6uu4or1000000000.jpg"",""offers"":{""@type"":""Offer"",""price"":569900,""priceCurrency"":""USD"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/1024-Parkside-Dr-Vacaville-CA-95688/79848170_zpid/""},""performer"":""Intero Real Estate Services""}",None,"'Edwin Markham Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
114000,"115 Lemon Tree Cir,", Vacaville,CA,95687,2.0,2,"1,536",1972,Mobile / Manufactured,None,None,$74,None,None,"'Cooper Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
1175000,"4087 Norman Ct,", Vacaville,CA,95688,7.0,8,"4,750",1987,Single Family,None,5 acres,$247,None,None,"'Browns Valley Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
519999,"1060 Freshwater Ct,", Vacaville,CA,95687,4.0,2,"1,708",2000,Single Family,None,"6,969 sqft",$304,"Wonderful Westgate single story home in a court. Updated with tile floors in Living room,Dining room,Family room and Kitchen. Newer quartz counters in the kitchen with large kitchen sink. Open floor plan with separate Living room and Family room. 4th bedroom is currently being used as a office. Nicely landscaped rear yard with patio.Read more",None,"'Foxboro Elementary School', 'Golden West Middle School', 'Vanden High School'",3
410000,"306 Kingsland Dr,", Vacaville,CA,95687,4.0,3,"1,888",1979,Single Family,None,"6,098 sqft",$217,None,None,"'Eugene Padan Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
259000,"520 Arcadia Dr,", Vacaville,CA,95687,2.0,1,954,1983,Condo,$470/month,None,$271,None,None,"'Cooper Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
477888,"728 Del Mar Cir,", Vacaville,CA,95688,4.0,3,"1,787",2014,Single Family,$72/month,"3,484 sqft",$267,None,None,"'Edwin Markham Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
429900,"191 E Deodara St,", Vacaville,CA,95688,3.0,2,"1,160",1961,Single Family,None,"7,840 sqft",$371,None,None,"'Hemlock Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
1190000,"7270 Lauras Ln,", Vacaville,CA,95688,5.0,4,"3,568",2007,Single Family,None,5 acres,$334,"Country Charmer on gorgeous 5 acres! This home was built for gathering. The kitchen is the heart of the home, complete with granite counters, double ovens, and the largest walk in pantry you've ever seen! Master suite is on the main floor featuring His and Her walk-in closets, dual vanities, and jetted soaking tub. Upstairs you'll find 4 additional bedrooms, 2 full baths, loft, and large 20x30 ft bonus room. Bonus room could be a home gym, office, playroom, or convert into an apartment. With the stamped concrete patio and all weather patio cover this home has hosted two weddings with enough parking for 50+ cars & 150 guests! Tons of windows and natural light invite the great outdoors in. Fenced garden with raised planting boxes, fruit orchard, chicken coop, and goat yard all on only half of the acreage. The remaining acreage is perfect to add a second residence, horses and barn, or for farming. Views of the hills and seasonal creek make this property country living at its best!Read more",None,"'Browns Valley Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
455000,"248 Plum St,", Vacaville,CA,95688,4.0,2,"1,654",1956,Single Family,None,"5,227 sqft",$275,"What I love about this homeFor more information and details about this fabulous upcoming listing, call the Tom Rapisarda Team today at (707) 718-0947Read more",None,"'Hemlock Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
209900,"1956 Southwood Dr APT 3,", Vacaville,CA,95687,2.0,1,882,1972,Condo,$385/month,None,$238,"Stunning, freshly renovated 2-story condo located minutes from Travis Air Force Base. Residence boasts a bright kitchen with brand new cabinetry, appliances and counter tops. Fabulous hand scraped hardwood laminate throughout living space and fresh paint throughout entire home. New faux wood blinds throughout entire home adding that perfect final touch. Upstairs features brand new carpet and updated full bathroom. New HVAC system will keep you cool during California summers! VA approved property!Read more",None,"'Eugene Padan Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
485000,"912 Celestine Cir,", Vacaville,CA,95687,3.0,3,"1,528",1996,Single Family,None,"4,791 sqft",$317,None,2009,"'Foxboro Elementary School', 'Golden West Middle School', 'Vanden High School'",3
482000,"137 Valhalla Ct,", Vacaville,CA,95687,3.0,3,"1,888",1979,Single Family,None,0.3 acres,$255,"What I love about this homeI have truly enjoyed this home for its central location and family-oriented neighborhood and fantastic backyard with pool!!! It has everything you need and more to raise your beautiful family....!!! It is within close proximity to employment centers, shopping centers, recreational areas, and various schools....... The master bedroom with en suite with a fireplace is absolutely spacious and cozy warm for those winter nights......Read more",None,"'Eugene Padan Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
539000,"507 Youngsdale Dr,", Vacaville,CA,95687,3.0,3,"2,204",1989,Single Family,None,"6,098 sqft",$245,"Beautiful Foxboro Meadows home with sparkling in ground pool, perfect to cool off during the hot summer months! 3 bedrooms, and 2.5 bath home. Large Master Suite features dual walk in closets. Home is great for entertaining. Newer HVAC (2019) carpets, kitchen appliances, plantation shutters, water heater, garage door, fencing, exterior paint and pool equipment . Home has been very well maintained and cared for by it's original owners.Read more",None,"'Foxboro Elementary School', 'Golden West Middle School', 'Vanden High School'",3
348000,"101 Bryce Way,", Vacaville,CA,95687,2.0,2,"1,348",1981,Single Family,$120/month,"5,662 sqft",$258,"Leisure Town living at its best. This beautiful home features tasteful updates throughout. You will find granite counter tops and white cabinetry in the kitchen, a formal dining room, a spacious living room with a cozy fireplace, updated bathrooms, a large master bedroom, an indoor laundry room, an atrium located in the middle of the home, a low-maintenance outdoor patio and so much more. You will want to make this house your new home!Read more",None,"'Cooper Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
374900,"173 Cambridge Dr,", Vacaville,CA,95687,2.0,None,"1,212",1988,Single Family,$263/month,"2,178 sqft",$309,"Immaculate single story home located in the Travis School District. Home is move in ready with fresh paint, new blinds, new flooring in the kitchen & baths. New baseboards installed throughout the home. Additional Features: fireplace, breakfast bar, two car garage, living room & family room, community pool & park. Nicely landscaped yard with newer fencing. Located near schools, shopping and easy freeway access. So much to offer for the price!Read more",None,"'Cambridge Elementary School', 'Golden West Middle School', 'Vanden High School'",3
539000,"348 Parkview Ct,", Vacaville,CA,95688,5.0,None,"2,405",2010,Single Family,$53/month,"5,227 sqft",$224,"Move in Ready! It's a beauty, inside and out. So very well taken care of, the attention to detail shines! Front and back yards impeccably landscaped, Downstairs master bedroom, kitchen and family room are open floor plan, huge kitchen island for gatherings and making dinner together, beautiful wood floors, stainless appliances, granite countertops, custom fireplace surround. Brand new city park nearby. Welcome Home!Read more",None,"'Edwin Markham Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
1100000,"854 Elderberry Loop,", Vacaville,CA,95688,5.0,5,"3,681",2017,Single Family,$88/month,0.29 acres,$299,"Beautiful and Spacious Home in the Highly Desirable Cheyenne Comminity. 5 Bedrooms + Loft, 4 Full Baths and One Half Bath - Two Suites on Ground level - One Master Retreat Suite upper level. Formal Dinning Room. Great Room with Gas Fireplace. Bright and Open Concept a Gourmet Kitchen with Stainless Steel Appliances, Large Island, Wine Preparation Section and Wine Rack, Walk-in Pantry, Solar Panels (Owned), Heated Swimming Pool and Spa. Tile Roof, RV/Boat Parking, Landscaped front and rear yards, and more ...Read more",None,"'Browns Valley Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
255000,"125 Del Rio Ct APT 3,", Vacaville,CA,95687,2.0,2,952,1971,Single Family,$330/month,435 sqft,$268,None,None,"'Eugene Padan Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
