address,city,state,zipcode,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Today,Jul 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,Jan 2009,Feb 2009,Mar 2009,Apr 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009
"3425 Cecil Ave,",Santa Clara,CA,95050,None,None,None,None,None,$934.3K,$934.3K,$961.3K,$913.9K,$939.7K,$916.4K,$942.5K,$913.8K,$904.7K,$906.2K,$929.9K,$837.4K,$809.7K,$760.3K,$806.6K,$807.3K,$794.2K,$830.2K,$792.4K,$712.4K,$792.5K,$792.5K,$880.2K,$905K,$937.1K,$954.1K,$942.3K,$954.2K,$1M,$1M,$1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.2M,$1.3M,$1.3M,$1.3M,$1.2M,$1.2M,$1.3M,$1.3M,$1.4M,$1.5M,$1.5M,$1.5M,$1.3M,$1.3M,$1.3M,$1.4M,$1.3M,$1.3M,$1.3M,$1.3M,$1.4M,$1.3M,$1.3M,$1.3M,$1.4M,$1.4M,$1.4M,$1.4M,$1.4M,$1.4M,$1.3M,$1.3M,$1.4M,$1.3M,$1.4M,None,None,$1.4M,None,None,$1.4M,$1.5M,$1.5M,$1.5M,$1.4M,$1.4M,$1.4M,$1.4M,$1.4M,$1.4M,$1.3M,$1.3M,$1.3M,$2.4M,$2.3M,$2.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,None,$1.4M,None,$2.4M,$2.4M,$2.4M,$2.4M,$2.4M,$2.4M,$2.4M,$2.4M,$2.4M,$2.4M,None,$2.4M,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"3605 Eastwood Cir,",Santa Clara,CA,95054,None,None,None,None,None,$525.2K,$525.2K,$485.7K,$491.8K,$498.3K,$499.6K,$499.9K,$492.8K,$490.2K,$510.8K,$507K,$507.8K,$512.4K,$509.7K,$506.3K,$486.6K,$488.3K,$491.1K,$492.2K,$490.7K,$499.2K,$499.2K,$500.3K,$511.4K,$530.8K,$531.4K,$508.3K,$515.8K,$523.2K,$535.9K,$556.2K,$561.9K,$563.3K,$583.2K,$614.4K,$640.2K,$662.4K,$696.8K,$635.3K,$692.6K,$692.6K,$707.7K,$704.7K,$726.1K,$747.1K,$752.7K,$757.5K,$749.9K,$742.5K,$730.1K,$764K,$771.8K,$786.4K,$791.9K,$795.1K,$835.2K,$858.9K,$895K,$889.1K,$982.6K,$949.1K,$949.1K,$941.2K,$939K,$930.9K,$912K,$926.8K,$933.8K,$948.9K,$957.8K,$964.4K,$892.3K,$925.4K,$985.2K,$989.9K,$988.3K,$1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.2M,$1.2M,$1.2M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.2M,$1.2M,$1.3M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,None,None,None,$1.2M,None,$1M,None,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.4M,$1.4M,None,$1.4M,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"1746 Townsend Ave,",Santa Clara,CA,95051,None,None,None,None,None,$529.6K,$529.6K,$531.4K,$526.4K,$526.2K,$503.9K,$507.4K,$498.4K,$502.2K,$489.5K,$489.5K,$465.9K,$473.5K,$468.3K,$461K,$457.4K,$457.6K,$477.8K,$496.6K,$485K,$510K,$510K,$525.9K,$530.9K,$544.7K,$545K,$579.3K,$591.3K,$578.7K,$597K,$583.3K,$603.3K,$607.7K,$621.7K,$640.2K,$654.4K,$662.2K,$659.6K,$662.5K,$653.6K,$653.6K,$650.5K,$640.5K,$675K,$697.8K,$697.4K,$709.1K,$715.6K,$706.8K,None,None,$725.4K,None,None,$825.8K,$832.1K,$839.3K,$862.9K,$842K,$892.8K,$876.3K,$876.3K,$869.7K,$895.8K,$901.3K,$905.6K,$917.7K,$928.9K,$922.4K,$937.2K,$955.5K,$912.1K,$936.6K,$936.8K,$942.4K,$936.2K,$951.3K,$948K,$962.1K,$962.1K,$973.7K,$992K,$981.4K,$997.3K,$1M,$1M,$1M,$1M,$1.1M,$1.2M,$1.3M,$1.4M,$1.4M,$1.4M,$1.5M,$1.5M,$1.4M,$1.4M,$1.3M,$1.4M,$1.4M,$1.5M,$1.5M,$1.5M,$1.4M,$1.4M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,None,None,$1.3M,None,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,None,$1.7M,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"1730 Halford Ave APT 258,",Santa Clara,CA,95051,None,None,None,None,None,$287.8K,$287.8K,$298.3K,$297.8K,$298.6K,$293.5K,$289.1K,$286.3K,$287.9K,$276.5K,$280.5K,$255.9K,$257.9K,$253.1K,$222.8K,$222.8K,$235.8K,None,$239K,None,$238.3K,$238.3K,$236.7K,$243.1K,$259.2K,$277.7K,$291.6K,$315.2K,$311.5K,$320.4K,$337K,$343.3K,$361K,$364.2K,$370.7K,$393.7K,$400.1K,$392.8K,$392.2K,$395.8K,$395.8K,$398.9K,$395.9K,$405.5K,$407.5K,$408.7K,$404K,$403.6K,$399.5K,$399.2K,$411.1K,$422.6K,$423.5K,$427.6K,$433.1K,$454.6K,$466.7K,$481.8K,$474.1K,$500.2K,$496.3K,$496.3K,$491.5K,$507.1K,$525.6K,$508.4K,$525.2K,$531.8K,$535.1K,$538K,$568.8K,$553.6K,$561.1K,$532.1K,$527.1K,$521K,$545.9K,$559.2K,$615.8K,$615.8K,$627.1K,$638.4K,$642.9K,$656.9K,$622.6K,$582.4K,$570.1K,$570K,$569.4K,$586.5K,$605.2K,$616.9K,$635.2K,$644.5K,$640.3K,$663.8K,$689.8K,$706.7K,$692.7K,$722.2K,$722.2K,$762.5K,$759.7K,$747.5K,$718.8K,$715.5K,$717.5K,$710.3K,$702.4K,$671.8K,$679.5K,$676.7K,$675.5K,$665.2K,$679K,$688.4K,$696.3K,None,$696.3K,$696.3K,$695K,$693.9K,$693K,$692.3K,$691.7K,$691.3K,$691K,$691K,None,$692.4K,None,None,None,None,None,None,None,None,None,$697.7K,,,,,,,,,,,,,,,,
"4031 Crandall Cir,",Santa Clara,CA,95054,None,None,None,None,None,$721K,$721K,$738.1K,$742.3K,$741.7K,$730.4K,$714.8K,$711.4K,$705.5K,$695K,$697.4K,$695.1K,$712.5K,$704.2K,$687.9K,$666.4K,$658.3K,$671.3K,$661.6K,$678.5K,$715K,$715K,$721.4K,$745.3K,$764.3K,$773.7K,$777.2K,$785K,$763.9K,$790.8K,$832.7K,$858K,$868.8K,$870.1K,$881.6K,$893.8K,$865.9K,$847.8K,$900.4K,$910.2K,$910.2K,$920.9K,$900.4K,$908.6K,$942.7K,$921.9K,$913.6K,$914.6K,$911.5K,$911.4K,$934.3K,$946.5K,$951.3K,$959.6K,$968.6K,$978.7K,$984.4K,$1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.4M,$1.4M,$1.4M,$1.5M,$1.5M,$1.5M,$1.6M,$1.6M,$1.6M,$1.6M,$1.6M,$1.6M,$1.6M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.4M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,None,None,$1.3M,None,$1.4M,$1.4M,$1.4M,$1.4M,$1.4M,$1.4M,$1.4M,$1.4M,$1.4M,None,$1.4M,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"2978 Barkley Ave,",Santa Clara,CA,95051,None,None,None,None,None,$649.4K,$649.4K,$606.2K,$624.6K,$626.7K,$619.5K,$612.4K,$625.7K,$622.5K,$630.3K,$636.5K,$620.6K,$635.5K,$652K,$652K,$634.1K,$621K,$637.3K,$642.5K,$647.7K,$671.6K,$671.6K,$662.3K,$666.2K,$685K,$713.3K,$717.7K,$737.6K,$723.5K,$737.9K,$774K,$772.1K,$785.4K,$831.2K,$837K,$850.8K,$837.4K,$825.5K,$775.8K,$775.2K,$775.2K,$795.8K,$791.1K,$821K,$856K,$865.8K,$883.7K,$878.5K,$875.8K,$881.2K,$893.6K,$891.4K,$906.1K,$910.6K,$914.2K,$918.9K,$927.1K,$959.2K,$983.6K,None,$1M,$1M,None,None,None,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.4M,$1.4M,$1.4M,$1.4M,$1.5M,$1.5M,$1.3M,$1.4M,$1.4M,$1.6M,$1.7M,$1.7M,$1.7M,$1.8M,$1.8M,$1.8M,$1.8M,$1.8M,$1.6M,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,$1.6M,$1.6M,$1.6M,$1.5M,$1.6M,$1.6M,$1.6M,$1.6M,$1.7M,$1.8M,None,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,$1.7M,None,$1.7M,None,None,None,None,None,None,None,None,None,$2M,,,,,,,,,,,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"1300 White Dr,",Santa Clara,CA,95051,None,None,None,None,None,$615K,$615K,$589.9K,$596.9K,$614.3K,$595.8K,$580.5K,$586.9K,$584.9K,$571.6K,$588.1K,$564.6K,$573.2K,$564.7K,$592.5K,$577.4K,$567.2K,$578.4K,$559.3K,$564.2K,$577.9K,$577.9K,$587K,$592.5K,$620.7K,$597.3K,$599.6K,$622.3K,$659.4K,$669.4K,$719.8K,$732.2K,$718.3K,$769.2K,$754.9K,$774.7K,$770.7K,$781.9K,$775.3K,$773.5K,$773.5K,$796.2K,$781.5K,$804.2K,$845.7K,$837.1K,$819.6K,$821.8K,$814.8K,$818.4K,$836.4K,$871K,$877.5K,$900.3K,$899.7K,$899K,$891.6K,$903.2K,$918.6K,$947.8K,$969.4K,$969.4K,$969.5K,$1M,$1M,$1.1M,$1M,$1.1M,$1M,$1M,$1.1M,$1M,$1.1M,$1.1M,$1.2M,$1.1M,$1.1M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.3M,$1.3M,$1.3M,$1.3M,$1.4M,$1.4M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.4M,$1.4M,$1.4M,$1.4M,$1.4M,$1.4M,$1.3M,$1.4M,$1.4M,$1.3M,$1.3M,$1.3M,None,$1.4M,None,None,$1.5M,$1.5M,$1.4M,$1.4M,$1.4M,$1.4M,$1.4M,$1.4M,$1.4M,None,$1.4M,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"2250 Monroe St APT 319,",Santa Clara,CA,95050,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"2371 Monroe St,",Santa Clara,CA,95051,None,None,None,None,None,$545.9K,$545.9K,$550.9K,$547.7K,$549.1K,$553.1K,$541.4K,$555.5K,$531.6K,$520.3K,$524.1K,$532.5K,$551.9K,$539.4K,$528.5K,$516.8K,$505.1K,$530.1K,$526.2K,$505K,$518.6K,$518.6K,$527.7K,$538.1K,$564.5K,$568.8K,$561.9K,$575.3K,$569.6K,$587.9K,$618.4K,$639K,$641.9K,$673.2K,$659.7K,$686K,$691.6K,$685.7K,$699.2K,$717.1K,$717.1K,$728.7K,$716.8K,$755.1K,$787.3K,$797K,$786.2K,$762.9K,$746.6K,$753.3K,$768.4K,$777.4K,$787.1K,$792.4K,$797.5K,$806.6K,$802.8K,$825.9K,$818.2K,$855.3K,$852.9K,$852.9K,$868K,$888K,$916.3K,$961.6K,$962K,$947.8K,$945.1K,$956.6K,$973.6K,$952K,$979K,$985.7K,$1M,$973K,$963.6K,$967.4K,$1M,$1M,$997.8K,$1M,$1M,$1.1M,$1.1M,$1.1M,$1.2M,$1.2M,$1.2M,$1.3M,$1.4M,$1.4M,$1.5M,None,None,$1.5M,None,None,None,$1.4M,$1.4M,$1.4M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.2M,$1.2M,$1.3M,$1.3M,$1.3M,$1.3M,None,$1.3M,None,$1.6M,$1.6M,$1.6M,$1.6M,$1.6M,$1.6M,$1.6M,$1.5M,$1.5M,$1.5M,None,$1.5M,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"554 Los Olivos Dr,",Santa Clara,CA,95050,None,None,None,None,None,$555.1K,$555.1K,$546.9K,$554.9K,$551.6K,$544.6K,$520K,$497.5K,$513.4K,$514.8K,$504K,$491.6K,$521.3K,$517.4K,$506.9K,$524.2K,$509.5K,$508.6K,$499.6K,$490.8K,$503.4K,$503.4K,$515.8K,$523.2K,$551.4K,$551.1K,$564.5K,$565.9K,$570K,$569K,$593.9K,$622.5K,$622.6K,$631.4K,$638.6K,$638.4K,$646.8K,$647.1K,$657.7K,$659.8K,$659.8K,$651.9K,$650.2K,$661K,$661.9K,$675.6K,$671.8K,$682.1K,$647.3K,$645K,$655.7K,$685.6K,$694.8K,$697.8K,$698.8K,$699.8K,$726.1K,$753.7K,$766.9K,$772.8K,$774.7K,$774.7K,$760.2K,$767.4K,$777.7K,$800.8K,$808.7K,$815.7K,$825.5K,$824.9K,$829.8K,$851.1K,$859.8K,$875.1K,$863.2K,$861.1K,$873.1K,$874.2K,$883.5K,$883.5K,$872.6K,$909.7K,$898.3K,$908.7K,$892.3K,$907.9K,$933.9K,$947.2K,$967.3K,$1M,$1M,$1.1M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.1M,$1.1M,$1.1M,$1M,$1.1M,$1M,$986.8K,$972.3K,$985.2K,$1M,$1M,$1M,None,$994K,None,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,None,$1.3M,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"2552 Amethyst Dr,",Santa Clara,CA,95051,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"2343 Rambo Ct,",Santa Clara,CA,95054,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"526 Madison St,",Santa Clara,CA,95050,None,None,None,None,None,$558.8K,$558.8K,$557.8K,$561.6K,$569.5K,$558K,$556.2K,$549.9K,$537.5K,$524.7K,$551.4K,$549.2K,$547.1K,$537.9K,$520K,$511.6K,$503.5K,$500.7K,$490.5K,$512.3K,$542.6K,$542.6K,$533.6K,$539.1K,$537.7K,$561.4K,$568.7K,$571.5K,$602K,$606.8K,$619.9K,$649.2K,$653.5K,$651.9K,$656.6K,$663.3K,$662.8K,$665.9K,$670.3K,$653.7K,$653.7K,$671K,$661.1K,$673.9K,$705.7K,$715.5K,$707.4K,$709.8K,$692K,$687.6K,$670K,$701.3K,$695.4K,$693.6K,$705.3K,$767.3K,$756.8K,$778.5K,$769.9K,$844.9K,$813.3K,$813.3K,$816.9K,$821.5K,$844.1K,$836.9K,$842.2K,$864.1K,$913.1K,$927.5K,$941.1K,$887.1K,$873.8K,$876.2K,$893.6K,$887.2K,$881.3K,$872.6K,$875.9K,$875.9K,$922.5K,$917K,$935.2K,$944.9K,$944.6K,$982.8K,$1M,$1M,$1M,$1.1M,$1.1M,None,None,$1.2M,None,None,None,$1.3M,None,None,None,$1.2M,None,None,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.2M,$1.2M,None,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,None,$1.2M,None,None,None,None,None,None,None,None,None,$1.2M,,,,,,,,,,,,,,,,
"980 Kiely Blvd UNIT 218,",Santa Clara,CA,95051,None,None,None,None,None,$189.5K,$189.5K,$178.8K,$191.9K,$186.2K,$177.5K,$177.9K,$175.2K,None,None,None,$166.2K,None,None,$154K,$144K,$141.4K,$141.9K,None,None,$141.9K,None,$135K,None,None,$159K,$162.1K,$164.3K,$169.5K,$173.5K,$177K,$181.5K,$182.6K,$185.9K,$190.9K,$190.9K,$194.9K,$196.6K,$194.8K,$199.3K,$197.9K,$203.2K,$196.7K,$212.6K,$214.1K,$211.2K,$209.9K,$207.2K,$207K,$214.8K,$212.3K,$217.6K,$217.6K,$220.8K,$221.9K,$221.8K,$223.6K,$225.8K,$233.1K,$250.1K,$301.6K,$343.1K,$351.9K,$360.4K,$377.9K,$383.4K,$387.2K,$389.9K,$393.2K,$393.2K,$382.3K,$379K,$362.8K,$378.7K,$392.3K,$392.7K,$389K,$390.7K,$398.4K,$399.7K,$396.7K,$396.2K,$398.5K,$402K,$401.4K,$408.5K,$408.5K,$413.4K,$424.1K,$431.1K,$444.6K,$451.8K,$462K,$471.1K,$483.2K,$485.1K,$488.4K,$495.3K,$476.8K,$477.8K,$470.1K,$469.3K,$480K,$480K,$481.3K,$484.3K,$479.6K,$487.1K,$455K,$437.2K,$439K,$433.8K,$435.8K,$426.3K,$437.9K,None,None,$450K,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"2759 Rebeiro Ave,",Santa Clara,CA,95051,None,None,None,None,None,$534K,$534K,$533.3K,$544.7K,$542.4K,None,None,$524.3K,None,None,$607.8K,$583.5K,$616.7K,$600.7K,$588.1K,$579K,$564.1K,$592.1K,$576.7K,$574.7K,$604.7K,$604.7K,$608.2K,$623.4K,$641.6K,$644.4K,$654.8K,$670.6K,$674.7K,$690.9K,$718.1K,$743.7K,$749.8K,$761.7K,$777.1K,$796.4K,$805K,$797.1K,$817.7K,$811.5K,$811.5K,$830.8K,$802.8K,$840.7K,$858.6K,$844K,$824.1K,$825.7K,$806.1K,$809.2K,$824.3K,$835.6K,$852.4K,$857.4K,$870.9K,$881.1K,$899.4K,$920.3K,$919.6K,$965.2K,$980.5K,$980.5K,$968.8K,$986.5K,$1M,$993.3K,$1M,$1.1M,$1.1M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.1M,$1.1M,$1.1M,$1.2M,$1.2M,$1.3M,$1.3M,$1.4M,$1.5M,$1.5M,$1.6M,$1.6M,$1.6M,$1.6M,$1.6M,$1.5M,$1.5M,$1.5M,$1.5M,$1.4M,$1.4M,$1.4M,$1.4M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,None,None,$1.3M,None,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,None,$1.5M,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"2600 Cortez Dr UNIT 7201,",Santa Clara,CA,95051,None,None,None,None,None,$374.1K,$374.1K,$377K,$383.7K,$383.5K,$372.4K,$359.1K,$361.8K,$366.2K,$353.2K,$343.2K,$325.6K,$327.1K,$333.3K,$332.6K,$320.7K,$318.9K,$323.1K,$319.8K,$316.6K,$325.5K,None,$325.5K,None,None,$413.6K,None,None,None,$372.5K,$400.6K,$413.5K,$418K,$425K,$435.3K,$453K,$461.6K,$465.7K,$460.4K,$464.1K,$464.1K,$467.1K,$459.1K,$469.3K,$481.4K,$486.4K,$485.5K,$497.7K,$492.3K,$485.3K,$492.5K,$506.5K,$501.8K,$514.9K,$518.8K,$499.3K,$504.9K,$531.5K,$530K,$541.2K,$557K,$557K,$564.3K,$575.6K,$577.9K,$571.4K,$572.6K,$580.1K,$587.6K,$584.7K,$599.6K,$592.7K,$602.2K,$591.7K,$592.6K,$596.6K,$604.5K,$603.3K,$615.8K,$615.8K,$623.8K,$631.8K,$640.5K,$649.5K,$648.9K,$652.3K,$675.9K,$686.8K,$686.1K,$710.7K,$712.7K,$730.5K,$750.9K,$777.9K,$785.7K,$841.5K,$872.6K,$837.3K,$835.6K,$885.1K,$885.1K,$818.5K,$799.8K,$778.6K,$758.9K,$795.3K,$797.9K,$807.3K,$802.7K,$773.8K,$749.5K,$775K,$770.2K,$744.7K,$754.2K,$764.9K,$791.9K,None,$794.7K,$794.7K,$793.1K,$791.7K,$790.4K,$789.2K,$788.2K,$787.2K,$786.4K,$785.9K,None,$786.4K,None,None,None,None,None,None,None,None,None,$796.4K,,,,,,,,,,,,,,,,
"470 N Winchester Blvd APT 403,",Santa Clara,CA,95050,None,None,None,None,None,$447.8K,$447.8K,$451.8K,$455.4K,$454K,$443.4K,$440.4K,$439.9K,$421.9K,$417.6K,$410.5K,$401.2K,$423.6K,$420.5K,$407.7K,$388.7K,$390.7K,$416.5K,$403.3K,$315K,$317K,$317K,$324.7K,$335.7K,$372.7K,$390.5K,$354.2K,$378.7K,$385.1K,$387.3K,$430.2K,$427.6K,$430.3K,$429.3K,$445.6K,$456.6K,$462.1K,$464.4K,$472.5K,$475K,$475K,$488.8K,$482.7K,$481.9K,$499.6K,$497.8K,$513K,$505.8K,$494.6K,$498K,$498.6K,$513.8K,$521.5K,$520.5K,$531.1K,$534.9K,$546K,$563.1K,$578.1K,$584.2K,$587K,$587K,$606.3K,$616.6K,$621.9K,$631K,$643K,$645.4K,$654.1K,$641K,$630.4K,$624.3K,$634K,$639.5K,$647.1K,$640.8K,$644.5K,$642.8K,None,None,$647.4K,None,None,None,$613.3K,$615.7K,$622.7K,$635.9K,$655.8K,$681.3K,$699K,$715.7K,$735.5K,$750.2K,$743.5K,$766.5K,$774.5K,$770.4K,$754.4K,$743K,$743K,$741K,$728.1K,$707.1K,$697.3K,$753.3K,$753.6K,$725.1K,$725K,$725K,$672K,$683.6K,$680.2K,$688.5K,$693.5K,None,None,$716.7K,None,$810K,$808.3K,$806.8K,$805.3K,$803.9K,$802.4K,$801K,$799.7K,$798.7K,None,$798.4K,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
